,id,room_type,price,calculated_host_listings_count,host_response_time,host_response_rate,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cleaning_fee,cancellation_policy,Wifi,Heating,Kitchen,Essentials,Washer,Smoke detector,Hangers,Hair dryer,TV,Iron,Shampoo,Laptop friendly workspace,Hot water,Elevator,Family/kid friendly,Internet,Dryer,Refrigerator,Bed linens,Dishes and silverware,Cable TV,Cooking basics,Coffee maker
27756,16773565,0,65,1,3,86,1,2,1.0,1.0,1.0,4,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0
27757,16773630,0,80,5,3,100,1,2,1.0,0.0,1.0,4,15.0,3,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
27759,16774418,0,100,3,3,100,1,2,1.0,0.0,0.0,4,40.0,3,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1
27762,16777349,0,79,14,3,99,1,2,1.0,0.0,1.0,4,50.0,3,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0
27765,16781012,0,170,1,1,100,1,4,1.0,1.0,2.0,4,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1
27766,16785364,0,55,2,2,100,1,1,1.5,1.0,1.0,4,65.0,3,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0
27768,16786493,0,159,21,3,98,1,4,1.0,1.0,2.0,4,55.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1
27769,16786524,0,50,1,3,100,1,2,1.0,0.0,1.0,4,0.0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1
27770,16788009,0,145,1,3,100,1,4,1.0,2.0,3.0,4,40.0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
27773,16789002,0,290,2,1,91,1,4,1.0,2.0,2.0,4,80.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
27775,16789585,0,800,2,2,100,1,5,2.5,3.0,3.0,4,200.0,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
27778,16792317,0,120,1,1,50,1,6,1.0,2.0,3.0,4,20.0,3,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
27779,16792455,0,135,1,1,100,6,3,1.0,1.0,2.0,4,0.0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
27780,16793949,0,60,1,1,100,1,2,1.0,1.0,1.0,4,15.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1
27782,16795305,0,120,2,2,100,1,4,1.0,1.0,2.0,4,100.0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
27783,16795889,0,42,1,2,100,1,2,1.0,0.0,1.0,4,20.0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0
27784,16800737,0,75,5,1,63,1,2,1.0,1.0,1.0,4,40.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
27785,16801119,0,44,1,2,100,1,2,1.0,1.0,0.0,4,20.0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
27788,16802256,0,240,1,3,100,1,2,2.0,1.0,1.0,4,60.0,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1
27789,16802476,0,211,1,1,50,1,7,2.0,2.0,2.0,4,30.0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0
27790,16802967,0,47,1,2,100,1,2,1.0,0.0,1.0,4,15.0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
27791,16803510,1,98,5,3,100,4,2,1.0,1.0,0.0,4,10.0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
27792,16803581,0,45,1,1,67,1,3,1.0,1.0,2.0,4,40.0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
27793,16804575,0,328,1,1,100,13,8,2.0,5.0,5.0,4,50.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1
27794,16804888,0,52,12,3,100,1,2,1.0,1.0,1.0,4,48.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1
27796,16804984,0,20,1,1,80,1,3,1.0,1.0,2.0,4,20.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
27801,16808964,0,70,1,2,100,1,2,1.0,1.0,1.0,4,10.0,3,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0
27802,16810151,0,65,1,1,100,1,4,1.0,1.0,1.0,4,10.0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
27803,16810445,0,109,2,2,100,19,3,1.0,1.0,1.0,4,50.0,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
27804,16816755,0,59,1,2,90,1,3,1.0,0.0,0.0,4,25.0,3,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
27806,16817884,0,90,79,1,65,1,2,1.0,0.0,1.0,4,60.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1
27809,16818406,0,75,2,3,100,1,4,0.5,0.0,2.0,4,20.0,3,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1
27811,16821477,0,110,12,3,100,1,4,1.0,2.0,2.0,4,68.0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0
27812,16822656,0,150,1,2,100,1,4,1.5,2.0,2.0,4,85.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
27813,16822827,0,700,6,1,67,1,16,2.0,2.0,2.0,4,70.0,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
27817,16825712,0,58,1,3,100,1,2,1.0,0.0,1.0,4,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
27821,16832328,0,82,1,2,80,1,2,1.0,1.0,1.0,4,0.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0
27826,16835052,0,96,4,2,100,1,4,1.0,1.0,2.0,4,49.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0
27828,16835742,0,120,1,2,100,1,2,1.0,2.0,2.0,4,40.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
27831,16836992,0,85,1,3,100,1,4,1.0,1.0,2.0,4,74.0,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
27832,16837657,0,110,179,1,85,1,3,1.0,1.0,2.0,4,72.0,3,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0
27833,16838921,0,99,1,3,100,1,4,1.0,1.0,2.0,4,50.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
27834,16839160,0,285,1,0,25,1,4,1.0,2.0,2.0,4,60.0,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
27835,16842524,0,300,1,3,100,16,4,1.0,0.0,2.0,4,30.0,3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1
27839,16848622,0,92,1,1,100,1,4,1.0,1.0,2.0,4,60.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
27840,16849815,1,125,5,3,90,4,5,1.0,1.0,3.0,4,15.0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0
27843,16851427,0,85,96,3,100,1,2,1.5,1.0,1.0,4,70.0,3,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
27847,16852946,0,290,14,2,100,1,7,2.0,3.0,4.0,4,120.0,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
27848,16853818,0,140,4,1,90,1,4,1.0,1.0,2.0,4,65.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27851,16855828,0,50,1,2,100,1,2,1.0,1.0,1.0,4,35.0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1
27852,16858086,0,99,1,3,100,1,4,1.0,1.0,1.0,4,60.0,3,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
27853,16858328,0,69,1,3,100,1,2,1.0,1.0,1.0,4,0.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0
27855,16862958,0,90,12,3,100,1,4,1.0,1.0,2.0,4,55.0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1
27857,16864811,0,92,1,3,100,1,2,1.0,1.0,1.0,4,40.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1
27861,16865904,0,59,69,3,99,1,2,1.0,0.0,1.0,4,60.0,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
27863,16866475,0,240,1,1,79,1,4,1.0,3.0,2.0,4,70.0,3,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
27866,16872124,0,83,7,3,84,6,2,1.0,0.0,1.0,4,30.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
27867,16874296,0,80,3,3,100,19,2,1.0,0.0,0.0,4,40.0,3,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1
27869,16875806,0,80,1,2,90,1,4,1.0,1.0,2.0,4,40.0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1
27880,16883006,0,280,1,3,100,1,8,2.0,4.0,4.0,4,150.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
27881,16887503,1,119,1,1,100,1,2,1.0,1.0,1.0,4,25.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
27883,16888539,0,95,1,1,50,1,2,1.0,1.0,1.0,4,10.0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
27884,16889521,0,119,14,3,99,1,2,1.0,0.0,1.0,4,50.0,3,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1
27886,16890556,0,76,1,1,78,1,6,1.0,2.0,3.0,4,25.0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0
27888,16890826,0,320,1,1,100,1,6,1.0,3.0,0.0,4,90.0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
27889,16891214,1,85,1,2,100,1,2,1.0,1.0,1.0,4,30.0,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
27890,16891544,0,65,1,2,100,1,2,1.0,1.0,1.0,4,25.0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
27891,16891591,0,57,1,1,100,1,2,1.0,0.0,1.0,3,0.0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0
27893,16892980,1,40,2,1,86,1,1,1.0,1.0,1.0,4,40.0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
27894,16893868,0,40,1,2,100,1,2,1.0,0.0,1.0,3,7.0,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0
27896,16894076,0,91,1,2,90,1,5,1.0,1.0,3.0,4,39.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
27897,16894176,1,40,1,3,92,1,2,1.0,1.0,1.0,4,10.0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1
27898,16895293,0,175,74,3,100,1,6,1.0,2.0,4.0,4,50.0,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0
27900,16898049,0,250,1,2,100,16,2,2.0,1.0,2.0,4,100.0,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1
27901,16901528,0,500,49,3,96,1,4,1.0,2.0,3.0,4,100.0,5,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0
27902,16902122,0,75,1,3,100,1,2,1.0,0.0,1.0,4,50.0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0
27903,16902321,0,125,6,3,100,1,3,1.0,1.0,2.0,4,80.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
27904,16902750,0,70,1,3,100,1,2,1.0,1.0,1.0,4,70.0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1
27905,16902842,0,170,13,3,100,1,5,1.0,1.0,3.0,4,60.0,3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
27909,16903833,0,90,1,2,100,1,2,1.0,1.0,1.0,4,20.0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27912,16904574,0,180,2,3,100,1,4,1.0,2.0,2.0,4,40.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
27913,16904623,0,93,12,3,100,1,2,1.0,1.0,1.0,4,48.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1
27914,16905188,0,60,1,3,100,1,2,1.0,1.0,1.0,4,25.0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1
27915,16905683,0,600,4,3,100,1,12,3.0,6.0,6.0,4,80.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
27916,16906142,0,125,1,3,100,1,4,1.5,1.0,1.0,4,35.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27917,16906235,0,71,1,3,100,1,2,1.0,0.0,1.0,4,32.0,3,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1
27918,16907219,0,72,1,3,100,1,3,1.0,1.0,2.0,4,15.0,3,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
27919,16909338,0,80,1,2,100,1,5,2.0,2.0,5.0,4,30.0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1
27922,16918683,0,265,1,3,100,1,2,1.0,1.0,1.0,4,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
27923,16918732,0,183,1,2,100,1,6,2.0,2.0,4.0,4,40.0,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
27926,16919962,0,70,1,3,100,1,4,1.0,1.0,2.0,4,30.0,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1
27928,16921284,0,130,1,1,100,1,6,2.0,2.0,4.0,4,30.0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0
27929,16923451,0,250,11,3,100,1,6,1.0,2.0,3.0,4,80.0,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0
27930,16926981,0,130,1,3,100,1,2,1.0,1.0,1.0,4,25.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0
27931,16928639,0,110,19,3,99,19,4,1.0,1.0,2.0,4,50.0,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
27940,16938250,0,342,300,1,85,1,4,2.0,2.0,3.0,4,150.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
27941,16938784,0,89,17,3,98,1,3,1.0,0.0,2.0,4,20.0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
27942,16939236,0,150,12,3,100,1,6,1.0,2.0,3.0,4,77.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1
27945,16941893,0,91,1,2,100,1,4,1.0,1.0,1.0,4,40.0,3,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0
27950,16949066,0,70,1,3,100,1,2,1.0,1.0,0.0,4,25.0,3,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1
27952,16950055,0,85,1,3,100,1,3,1.0,1.0,1.0,4,40.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
27953,16950790,0,75,1,3,100,1,2,1.0,0.0,1.0,4,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0
27957,16952860,0,85,2,3,100,1,4,1.5,2.0,2.0,4,45.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1
27958,16953236,0,126,1,1,80,1,4,0.0,1.0,1.0,4,35.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
27959,16953481,0,61,15,3,100,1,2,1.0,0.0,0.0,4,50.0,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1
27960,16953863,0,42,1,3,100,1,3,1.0,1.0,2.0,4,50.0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1
27961,16960036,0,90,1,3,100,6,3,1.0,1.0,2.0,4,35.0,3,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0
27963,16966216,0,144,4,2,100,1,2,1.0,1.0,2.0,4,80.0,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
27964,16967236,0,90,1,3,100,1,4,1.0,1.0,3.0,4,50.0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
27965,16968943,0,115,1,3,100,1,2,1.0,1.0,1.0,4,70.0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0
27966,16969566,0,200,1,3,100,1,6,2.0,3.0,4.0,4,115.0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0
27967,16970314,0,180,1,1,57,1,5,2.0,3.0,3.0,4,150.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1
27969,16971246,0,115,1,2,80,1,3,1.0,1.0,1.0,4,15.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
27972,16972473,0,95,1,1,100,1,2,1.0,1.0,1.0,4,35.0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
27974,16981752,0,100,1,2,100,1,2,1.0,1.0,1.0,4,20.0,3,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27975,16982268,0,98,1,2,100,1,4,1.0,1.0,1.0,4,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0
27977,16983207,0,90,1,1,100,1,2,1.0,1.0,2.0,4,20.0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
27978,16983512,0,49,1,3,100,6,4,1.5,1.0,2.0,4,0.0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1
27982,16989359,0,99,1,3,100,1,2,1.0,1.0,2.0,4,45.0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
27983,16990115,1,35,1,3,100,1,1,1.0,1.0,1.0,3,0.0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
27984,16991057,0,105,23,3,91,1,4,1.0,1.0,2.0,4,55.0,3,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
27985,16991660,0,90,1,3,90,1,4,1.0,2.0,2.0,4,20.0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
27988,16993116,0,85,1,3,100,1,3,1.0,1.0,2.0,4,45.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
27991,16994881,0,66,2,3,100,6,4,1.0,0.0,2.0,4,30.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1
27992,16995863,0,60,4,3,100,1,2,1.0,0.0,2.0,4,25.0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
27993,16996094,0,50,1,3,100,1,2,1.0,0.0,1.0,4,25.0,3,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27994,16996580,1,55,2,1,100,1,1,1.0,1.0,1.0,4,24.0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
27996,16997408,0,65,1,2,100,1,2,1.0,1.0,1.0,4,15.0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1
27997,16997694,0,79,1,3,100,1,2,1.0,1.0,1.0,4,15.0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
27998,17002490,1,50,1,1,100,6,1,1.0,1.0,1.0,4,35.0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1
27999,17003013,0,65,1,3,100,1,2,1.0,1.0,1.0,4,35.0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1
28002,17003825,0,175,1,2,90,1,4,2.0,2.0,2.0,4,90.0,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
28004,17004607,0,120,1,3,100,1,4,1.5,2.0,2.0,4,80.0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1
28006,17006177,1,229,5,3,100,19,4,1.0,1.0,2.0,4,4.0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
28007,17006185,1,74,5,3,100,2,2,1.0,1.0,1.0,4,4.0,3,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
28008,17006209,1,79,5,3,100,2,2,1.0,1.0,1.0,4,4.0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
28013,17012934,0,75,1,2,100,1,2,1.0,1.0,1.0,4,10.0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
28018,17020145,0,190,1,3,100,6,4,1.0,2.0,5.0,4,150.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0
28022,17022557,0,89,1,1,100,1,3,1.0,1.0,1.0,4,30.0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
28024,17024899,0,61,1,2,100,1,2,1.0,1.0,1.0,4,100.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1
28025,17026212,1,60,1,3,100,1,1,1.0,1.0,1.0,4,5.0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0
28026,17026697,0,80,1,3,100,1,2,1.0,1.0,1.0,4,49.0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
28027,17028380,0,77,1,3,100,1,4,1.0,1.0,2.0,4,18.0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
28028,17031998,0,45,2,3,100,1,1,1.0,1.0,1.0,4,30.0,3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1
28029,17033100,0,160,1,2,100,1,2,1.0,1.0,1.0,4,90.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
28032,17033878,0,250,4,3,98,21,6,1.0,2.0,3.0,4,75.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
28033,17034022,0,55,1,2,100,1,2,1.0,0.0,1.0,4,30.0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
28036,17036102,0,69,1,3,100,1,2,1.0,1.0,1.0,4,45.0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1
28037,17039160,0,180,1,1,60,1,7,1.0,3.0,5.0,4,80.0,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1
28038,17039232,0,119,1,3,100,1,4,1.0,1.0,2.0,4,50.0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0
28040,17042422,0,129,4,3,100,1,4,1.0,1.0,2.0,3,49.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1
28041,17042503,0,65,1,3,100,1,4,1.0,1.0,0.0,4,55.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
28043,17042834,0,90,1,2,100,1,2,1.0,0.0,1.0,4,25.0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0
28054,17051887,0,371,2,3,100,1,8,3.0,3.0,3.0,4,70.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
28057,17071404,0,59,1,3,100,1,4,1.5,0.0,2.0,4,50.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0
28058,17072209,0,50,1,0,25,1,2,1.0,1.0,1.0,4,39.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
28059,17074913,1,40,3,1,50,1,2,1.0,1.0,1.0,4,0.0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
28060,17076097,0,200,1,2,100,1,2,1.5,1.0,1.0,4,60.0,3,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0
