,id,room_type,price,calculated_host_listings_count,host_response_time,host_response_rate,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cleaning_fee,cancellation_policy,Wifi,Heating,Kitchen,Essentials,Washer,Smoke detector,Hangers,Hair dryer,TV,Iron,Shampoo,Laptop friendly workspace,Hot water,Elevator,Family/kid friendly,Internet,Dryer,Refrigerator,Bed linens,Dishes and silverware,Cable TV,Cooking basics,Coffee maker
68,34453,1,60,1,3,100,2,3,1.0,1.0,2.0,4,15.0,3,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1
69,35065,0,132,1,2,100,1,2,1.5,1.0,1.0,4,30.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
72,36586,0,50,1,0,33,1,1,0.0,1.0,1.0,4,15.0,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
74,37801,0,110,1,2,100,1,7,1.5,2.0,4.0,4,0.0,3,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
77,39651,0,59,1,1,60,1,2,1.0,1.0,1.0,4,15.0,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1
78,39666,0,922,1,3,100,1,4,1.5,1.0,2.0,3,134.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
79,39716,0,140,1,3,100,1,5,1.5,2.0,4.0,4,80.0,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0
81,40143,0,139,1,2,80,1,4,1.0,1.0,1.0,4,35.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0
82,40174,0,95,1,2,100,1,2,1.0,1.0,1.0,3,54.0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0
85,41106,0,175,1,3,100,1,4,1.0,1.0,0.0,4,50.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
86,41213,0,166,1,3,100,1,2,1.5,1.0,1.0,4,40.0,3,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1
88,42348,0,75,1,2,100,1,2,1.0,1.0,1.0,4,30.0,3,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
89,42507,0,78,1,2,78,1,4,1.5,1.0,3.0,4,30.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
90,43027,0,150,1,1,100,1,4,1.0,1.0,2.0,4,20.0,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0
92,43355,0,60,1,1,83,1,2,1.0,1.0,1.0,4,30.0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0
93,43500,0,155,79,1,65,1,4,1.0,1.0,3.0,4,70.0,3,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
94,44123,0,215,79,1,65,1,6,1.0,2.0,4.0,4,90.0,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,44130,0,158,79,1,65,1,4,1.0,1.0,2.0,4,70.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,44198,0,92,2,2,100,1,4,1.0,1.0,2.0,2,80.0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1
98,45630,1,34,2,2,100,1,2,1.0,1.0,1.0,2,9.0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
101,47155,0,130,1,2,71,1,3,1.0,2.0,2.0,4,40.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
102,48498,0,175,79,1,65,1,4,1.0,1.0,3.0,4,70.0,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0
103,48584,0,165,79,1,65,1,4,1.0,1.0,2.0,4,60.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,48592,0,190,79,1,65,1,5,1.0,1.0,4.0,4,70.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,52157,0,320,1,2,100,1,4,1.5,2.0,3.0,4,80.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
108,52706,0,85,1,3,100,1,3,1.0,1.0,2.0,4,40.0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1
109,53036,0,71,2,3,88,1,2,1.5,1.0,1.0,4,54.0,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
110,53353,0,160,1,2,100,1,3,2.5,2.0,1.0,4,150.0,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0
111,53567,1,48,1,1,67,1,2,1.0,1.0,1.0,4,30.0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
113,53923,0,120,1,3,100,1,4,1.0,1.0,1.0,4,50.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
