,id,room_type,price,minimum_nights_x,number_of_reviews,reviews_per_month,calculated_host_listings_count,host_response_time,host_response_rate,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cleaning_fee,minimum_nights_y,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,group
21538.0,13073555.0,0.0,68.0,1.0,1.0,0.06,1.0,0.0,25.0,1.0,2.0,1.0,1.0,1.0,4.0,30.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,80.0,10.0,8.0,10.0,10.0,8.0,8.0,1.0,2.0
21540.0,13073862.0,0.0,110.0,2.0,28.0,0.8,1.0,0.0,36.0,1.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,95.0,9.0,9.0,10.0,10.0,10.0,10.0,0.0,2.0
21541.0,13074447.0,0.0,199.0,1.0,294.0,8.16,4.0,3.0,100.0,15.0,7.0,1.0,1.0,4.0,4.0,65.0,1.0,1125.0,1.0,2.0,1125.0,1125.0,93.0,10.0,9.0,10.0,10.0,10.0,9.0,2.0,0.0
21551.0,13077200.0,0.0,48.0,2.0,8.0,0.23,1.0,2.0,100.0,1.0,2.0,1.0,1.0,1.0,4.0,15.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0.0,1.0
21553.0,13077823.0,0.0,125.0,3.0,35.0,1.11,1.0,3.0,100.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,3.0,4.0,3.0,3.0,4.0,10.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0
21558.0,13079214.0,0.0,55.0,2.0,7.0,0.52,1.0,0.0,40.0,1.0,2.0,1.0,0.0,1.0,4.0,30.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,2.0
21566.0,13081914.0,0.0,45.0,7.0,8.0,0.23,1.0,1.0,50.0,1.0,2.0,1.0,0.0,0.0,4.0,10.0,7.0,1125.0,7.0,7.0,1125.0,1125.0,97.0,9.0,9.0,9.0,10.0,10.0,10.0,0.0,2.0
21567.0,13083881.0,0.0,195.0,3.0,112.0,3.21,1.0,2.0,100.0,1.0,4.0,1.0,1.0,2.0,4.0,50.0,3.0,1125.0,3.0,3.0,1125.0,1125.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,1.0
21574.0,13087800.0,0.0,90.0,1.0,15.0,0.43,1.0,1.0,60.0,1.0,2.0,1.0,1.0,1.0,4.0,25.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,95.0,10.0,8.0,9.0,9.0,9.0,9.0,1.0,1.0
21577.0,13088646.0,0.0,95.0,3.0,17.0,0.52,1.0,1.0,100.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,3.0,1124.0,3.0,3.0,1124.0,1124.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,1.0
21586.0,13091931.0,0.0,125.0,2.0,9.0,0.25,1.0,2.0,100.0,1.0,4.0,1.0,2.0,2.0,4.0,35.0,2.0,1125.0,2.0,3.0,1125.0,1125.0,88.0,10.0,8.0,9.0,10.0,10.0,9.0,1.0,3.0
21589.0,13092979.0,0.0,100.0,91.0,4.0,0.12,9.0,2.0,80.0,1.0,2.0,1.0,1.0,1.0,4.0,72.0,91.0,1125.0,91.0,91.0,1125.0,1125.0,95.0,10.0,9.0,10.0,9.0,10.0,10.0,2.0,3.0
21591.0,13093102.0,0.0,143.0,91.0,1.0,0.06,51.0,1.0,80.0,1.0,4.0,1.0,1.0,2.0,4.0,72.0,91.0,1125.0,91.0,91.0,1125.0,1125.0,80.0,10.0,10.0,8.0,10.0,8.0,10.0,2.0,3.0
21594.0,13094074.0,0.0,180.0,2.0,20.0,0.84,1.0,3.0,100.0,6.0,6.0,1.5,2.0,3.0,4.0,45.0,2.0,30.0,2.0,3.0,30.0,30.0,95.0,10.0,9.0,10.0,10.0,9.0,9.0,1.0,1.0
21595.0,13094999.0,0.0,160.0,2.0,36.0,2.66,1.0,3.0,100.0,1.0,3.0,1.0,1.0,2.0,4.0,30.0,2.0,30.0,2.0,2.0,30.0,30.0,94.0,10.0,9.0,9.0,9.0,10.0,9.0,1.0,1.0
21596.0,13095172.0,0.0,100.0,2.0,20.0,0.57,1.0,2.0,90.0,1.0,2.0,1.0,1.0,1.0,4.0,30.0,2.0,30.0,2.0,2.0,30.0,30.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,1.0
21598.0,13096178.0,0.0,92.0,4.0,58.0,1.61,1.0,1.0,100.0,1.0,4.0,1.0,1.0,2.0,4.0,60.0,4.0,1125.0,4.0,4.0,1125.0,1125.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,1.0
21604.0,13097505.0,0.0,110.0,4.0,19.0,0.54,1.0,1.0,90.0,1.0,2.0,1.0,1.0,1.0,4.0,40.0,4.0,15.0,4.0,4.0,15.0,15.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,1.0
21605.0,13098178.0,0.0,80.0,2.0,11.0,0.38,2.0,3.0,100.0,6.0,4.0,1.5,1.0,2.0,4.0,50.0,2.0,30.0,2.0,2.0,30.0,30.0,88.0,9.0,9.0,9.0,9.0,9.0,8.0,2.0,3.0
21606.0,13098189.0,0.0,95.0,3.0,3.0,0.17,2.0,3.0,100.0,1.0,4.0,1.5,1.0,1.0,4.0,50.0,3.0,30.0,3.0,3.0,30.0,30.0,93.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,3.0
21611.0,13102899.0,0.0,600.0,2.0,14.0,0.39,69.0,3.0,100.0,1.0,8.0,1.0,3.0,4.0,4.0,100.0,2.0,1125.0,2.0,4.0,1125.0,1125.0,89.0,9.0,9.0,9.0,10.0,9.0,8.0,1.0,1.0
21614.0,13103377.0,0.0,280.0,2.0,51.0,1.43,1.0,0.0,0.0,1.0,8.0,2.5,4.0,5.0,4.0,60.0,2.0,5.0,2.0,2.0,5.0,5.0,87.0,9.0,8.0,10.0,9.0,10.0,9.0,2.0,2.0
21617.0,13104420.0,0.0,59.0,4.0,100.0,2.79,1.0,3.0,100.0,1.0,2.0,1.0,0.0,1.0,3.0,35.0,4.0,1125.0,4.0,4.0,1125.0,1125.0,85.0,9.0,9.0,9.0,9.0,10.0,8.0,1.0,1.0
21618.0,13104578.0,0.0,199.0,3.0,91.0,2.57,15.0,3.0,100.0,1.0,5.0,1.0,2.0,3.0,4.0,60.0,3.0,1120.0,5.0,26.0,1120.0,1120.0,96.0,9.0,9.0,10.0,10.0,10.0,9.0,1.0,1.0
21619.0,13106101.0,0.0,45.0,2.0,143.0,4.01,4.0,3.0,100.0,1.0,4.0,1.0,1.0,1.0,4.0,40.0,2.0,15.0,2.0,2.0,15.0,15.0,85.0,9.0,9.0,10.0,10.0,10.0,9.0,2.0,1.0
21625.0,13107764.0,0.0,189.0,2.0,63.0,1.77,1.0,3.0,100.0,1.0,4.0,1.0,1.0,2.0,4.0,60.0,2.0,900.0,2.0,6.0,900.0,900.0,94.0,10.0,9.0,9.0,10.0,10.0,9.0,2.0,1.0
21627.0,13108105.0,0.0,100.0,4.0,63.0,1.79,1.0,2.0,100.0,1.0,3.0,1.0,1.0,2.0,4.0,50.0,4.0,1125.0,4.0,4.0,1125.0,1125.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,1.0
21632.0,13108828.0,1.0,118.0,3.0,35.0,1.11,1.0,3.0,100.0,2.0,3.0,1.0,1.0,1.0,4.0,40.0,3.0,25.0,3.0,3.0,25.0,25.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0
21640.0,13119109.0,0.0,200.0,2.0,28.0,0.81,2.0,3.0,100.0,1.0,4.0,1.5,2.0,2.0,4.0,90.0,2.0,15.0,2.0,2.0,15.0,15.0,87.0,9.0,9.0,8.0,9.0,10.0,9.0,2.0,3.0
21643.0,13119926.0,0.0,198.0,2.0,8.0,0.6,1.0,3.0,100.0,1.0,4.0,2.0,1.0,2.0,4.0,100.0,2.0,21.0,2.0,5.0,21.0,21.0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,2.0,3.0
21647.0,13120759.0,0.0,250.0,91.0,16.0,0.47,9.0,2.0,80.0,1.0,6.0,1.0,3.0,5.0,4.0,105.0,91.0,1125.0,91.0,91.0,1125.0,1125.0,84.0,9.0,9.0,9.0,10.0,10.0,8.0,2.0,3.0
21648.0,13121698.0,0.0,55.0,3.0,16.0,0.5,1.0,2.0,100.0,1.0,2.0,1.0,1.0,1.0,4.0,25.0,3.0,15.0,3.0,3.0,15.0,15.0,97.0,10.0,10.0,10.0,9.0,9.0,10.0,1.0,1.0
21654.0,13122030.0,0.0,430.0,5.0,18.0,0.53,3.0,3.0,100.0,1.0,4.0,2.0,2.0,3.0,4.0,120.0,5.0,1125.0,5.0,5.0,1125.0,1125.0,93.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,3.0
21655.0,13122262.0,0.0,125.0,2.0,2.0,0.06,1.0,1.0,50.0,1.0,2.0,1.0,1.0,1.0,4.0,50.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,2.0
21656.0,13122702.0,0.0,44.0,4.0,30.0,0.87,1.0,3.0,100.0,1.0,2.0,1.0,1.0,2.0,4.0,15.0,4.0,1125.0,4.0,4.0,1125.0,1125.0,91.0,9.0,9.0,10.0,10.0,9.0,9.0,2.0,1.0
21657.0,13122718.0,0.0,75.0,7.0,3.0,0.09,1.0,1.0,100.0,1.0,4.0,1.0,2.0,2.0,4.0,25.0,7.0,1125.0,7.0,7.0,1125.0,1125.0,100.0,10.0,8.0,10.0,10.0,10.0,8.0,1.0,1.0
21665.0,13125233.0,0.0,23.0,30.0,4.0,0.13,1.0,1.0,88.0,1.0,1.0,0.5,1.0,1.0,4.0,0.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,80.0,9.0,8.0,10.0,10.0,10.0,7.0,2.0,3.0
21667.0,13125866.0,0.0,119.0,5.0,86.0,2.69,1.0,3.0,100.0,1.0,3.0,1.0,1.0,2.0,4.0,60.0,5.0,1125.0,5.0,5.0,1125.0,1125.0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,2.0,1.0
