,address,category,details,id,lat,lng,location,name,numReviews,originalId,polarity,reviews,subCategory,geometry
4123,"62 Rue des Archives, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251616,251616,48.861246,2.358285,Paris,Musée de la Chasse et de la Nature,5.0,,9.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251616,,POINT (2.358285 48.861246)
4124,"quartier Beaubourg, Impasse Berthaud, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251617,251617,48.861638,2.354343,Paris,Musée de la Poupée,5.0,,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251617,,POINT (2.354343 48.861638)
4125,"31-33 Rue des Blancs Manteaux, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251618,251618,48.859426,2.355756,Paris,Les Bains du Marais,5.0,,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251618,,POINT (2.355756 48.859426)
4126,"41 Rue du Temple, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251619,251619,48.859512,2.353997,Paris,Centre de danse du Marais,5.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251619,,POINT (2.353997 48.859512)
4127,"12 Rue des Haudriettes, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251621,251621,48.86183,2.357172,Paris,Le Cud,4.0,,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251621,,POINT (2.357172 48.86183)
4128,"7 Rue Pecquay, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251624,251624,48.859871,2.355825,Paris,Maison des Contes et des Histoires,1.0,,2.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251624,,POINT (2.355825 48.859871)
4129,"108 Rue Vieille du Temple, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251663,251663,48.861073,2.36297,Paris,Lambert Yvon Galerie,2.0,,9.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251663,,POINT (2.36297 48.861073)
4130,"76 Rue de Turenne, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251664,251664,48.860517,2.364695,Paris,Galerie Perrotin,1.0,,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251664,,POINT (2.364695 48.860517)
4131,"78 Rue Amelot, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251666,251666,48.860643,2.368003,Paris,Magda Danysz Gallery,2.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251666,,POINT (2.368003 48.860643)
4132,"5 Rue Debelleyme, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251667,251667,48.860499,2.363922,Paris,Galerie Karsten Greve,1.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251667,,POINT (2.363922 48.860499)
4133,"13 Rue des Arquebusiers, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251669,251669,48.859664,2.366494,Paris,Art : Concept,1.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251669,,POINT (2.366494 48.859664)
