,id,room_type,price,calculated_host_listings_count,latitude,longitude,host_response_time,host_response_rate,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cleaning_fee,cancellation_policy,Wifi,Heating,Kitchen,Essentials,Washer,Smoke detector,Hangers,Hair dryer,TV,Iron,Shampoo,Laptop friendly workspace,Hot water,Elevator,Family/kid friendly,Internet,Dryer,Refrigerator,Bed linens,Dishes and silverware,Cable TV,Cooking basics,Coffee maker,label
124,59959,0,120,1,48.89368,2.38419,2,100,1,4,1,1,1,4,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
125,60165,0,70,1,48.88741,2.34924,1,100,1,4,1,1,2,4,30,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0
127,61259,0,103,1,48.87477,2.36314,2,100,1,2,1,1,1,4,40,3,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
128,61453,0,105,5,48.88935,2.37959,2,90,1,5,1,2,2,4,50,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0
129,61459,0,80,1,48.87676,2.29362,3,100,1,4,1,1,2,2,30,3,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0
130,62410,0,60,1,48.89523,2.3231,2,100,1,4,1,1,1,4,40,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
131,62622,0,290,1,48.8763,2.29428,1,100,1,6,2,3,4,4,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,2
132,63202,0,44,3,48.84809,2.29797,2,92,1,1,1,1,1,3,20,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
133,63480,0,160,1,48.85082,2.34951,3,100,1,3,1,1,1,4,40,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
134,63524,0,80,1,48.84058,2.30353,2,100,1,4,1,1,3,4,52,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0
136,63881,0,130,5,48.8482,2.35281,3,100,1,4,1,1,2,4,50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
137,65916,0,100,1,48.87188,2.35649,3,100,1,2,1,1,1,4,50,3,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
140,69588,0,95,1,48.86347,2.34118,3,100,1,2,1,0,1,4,50,3,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0
141,70586,0,139,2,48.8603,2.35387,2,100,1,3,1.5,1,2,4,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0
143,71495,0,60,1,48.88188,2.39385,2,100,1,1,1,1,1,4,15,3,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
144,71719,0,180,1,48.85116,2.31935,1,100,1,2,1,1,0,4,100,3,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0
145,72427,0,50,1,48.84967,2.37816,2,88,1,3,1,1,1,4,40,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0
147,73533,0,135,1,48.86411,2.34309,3,100,1,3,1,1,2,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0
148,73551,0,85,1,48.86058,2.36421,1,80,1,3,1,1,1,4,45,3,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
149,74561,0,48,5,48.85701,2.36331,3,100,1,2,1,0,1,1,50,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0
150,75708,1,45,1,48.86895,2.40142,3,100,1,2,1.5,0,1,4,30,3,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
153,77482,0,600,1,48.88658,2.32538,3,100,16,10,4.5,4,6,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2
154,78366,0,110,1,48.88116,2.33446,2,100,1,5,1,2,5,4,50,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
155,79690,0,185,79,48.85689,2.3577,1,65,1,4,1,1,3,4,60,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,2
157,80301,1,60,2,48.83926,2.34695,2,100,1,2,1,1,1,4,50,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
158,81106,0,85,1,48.88502,2.36017,3,100,1,2,1,1,1,4,25,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
159,81615,0,71,1,48.8505,2.29093,1,89,1,2,1,1,2,4,40,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
160,81870,0,135,79,48.85596,2.33172,1,65,1,2,1,1,1,4,60,3,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,2
161,84820,0,79,1,48.88414,2.33831,3,100,1,3,1.5,1,2,4,49,3,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0
163,85145,1,125,2,48.85659,2.36502,2,100,2,3,1,1,2,4,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
164,86053,0,185,1,48.86015,2.34198,3,100,1,5,1,1,3,2,50,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
166,87590,0,150,1,48.87039,2.3611,2,100,1,4,1,2,3,4,40,3,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
168,89058,0,95,2,48.88495,2.33574,3,100,1,4,1,1,2,4,50,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
170,94270,0,140,2,48.83638,2.33082,3,100,16,4,1,2,3,4,140,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
171,94711,0,55,1,48.86428,2.39393,2,100,1,2,1,1,1,4,30,3,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0
172,95915,0,80,1,48.85538,2.38957,2,90,1,2,1,1,1,4,50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0
174,97773,0,389,1,48.85535,2.37214,1,100,16,6,2.5,3,4,4,120,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,2
